rank,word,paradigm,frequency,weight,DISKRIM,LAMUV,NETAISN,AICIN,DARB,PERS,ASOC,MILIT,NOSOD,EMOC,NODEV
165,šoks,D1.s,22270,0.4,0,0,0,0,0,0,1,0,0,0,0
166,burbulis,D2.lis,22176,0.4,0,0,0,0,0,0,1,0,0,0,0
167,lamāt,K2.t,22107,1.0,0,0,0,0,1,0,0,0,0,0,0
168,atmaksāt,K2.t,22047,0.7,0,0,1,0,0,0,0,0,0,0,0
169,terors,D1.s,21563,0.7,0,0,1,0,0,0,0,0,0,0,0
170,nacionālists,D1.s,21562,0.4,0,0,0,0,0,0,1,0,0,0,0
171,nacisms,D1.s,21416,0.4,0,0,0,0,0,0,1,0,0,0,0
172,čakarēt,K2.t,21333,0.85,0,0,0,0,1,0,0,0,0,0,1
173,dedzināt,K3.ināt,21328,1.0,0,0,0,0,1,0,0,0,0,0,0
174,bāba,D4.a,21193,0.7,1,0,0,0,0,0,0,0,0,0,0
175,atņemts,Īp.s,21100,0.7,0,0,1,0,0,0,0,0,0,0,0
176,biezais,Īp.ais,21017,0.7,0,0,1,0,0,0,0,0,0,0,0
177,nacistisks,Īp.s,20979,0.4,0,0,0,0,0,0,1,0,0,0,0
178,bargs,Īp.s,20941,1.0,0,0,0,0,1,0,0,0,0,0,0
179,likvidēts,Īp.s,20871,1.0,0,0,0,0,1,0,0,0,0,0,0
180,skaudība,D4.a,20701,1.0,0,0,0,0,0,0,0,0,0,1,0
181,miets,D1.s,20611,0.4,0,0,0,0,0,0,1,0,0,0,0
182,nazis,D2.zis,20536,0.4,0,0,0,0,0,0,1,0,0,0,0
183,spiegs,D1.s,20482,0.4,0,0,0,0,0,0,0,1,0,0,1
184,neapmierināts,Īp.s,20311,1.0,0,0,0,0,0,0,0,0,0,1,0
186,inde,D5.e,19734,0.4,0,0,0,0,0,0,1,0,0,0,0
187,ienīst,K1.st.stu.du,19646,1.0,0,0,0,0,0,0,0,0,0,1,0
188,debīls,Īp.s,19610,0.4,0,1,0,0,0,0,0,0,0,0,0
189,imigrants,D1.s,19442,0.7,1,0,0,0,0,0,0,0,0,0,0
190,verdzība,D4.a,19433,0.7,0,0,1,0,0,0,0,0,0,0,0
191,idiotisms,D1.s,19407,0.4,0,1,0,0,0,0,0,0,0,0,0
192,asiņains,Īp.s,19192,0.4,0,0,0,0,0,0,1,0,0,0,0
193,āzis,D2.zis,19181,0.4,0,1,0,0,0,0,0,0,0,0,0
